,Title,Release Date,Price,Rating
287,Alchemic Jousts,12th Jun 2018,£8.99,6.67
288,Alchemist Adventure,10th Jun 2021,£15.99,0.0
289,Alchemist Simulator,11th Mar 2021,£11.29,0.0
290,Alchemist's Castle,13th Oct 2019,£2.29,0.0
291,Alder's Blood,13th Mar 2020,£17.99,7.0
292,Aldred - Knight of Honor,8th Oct 2019,£1.79,6.25
293,Alekon,6th Apr 2023,£14.39,3.33
294,Alex Kidd in Miracle World DX,22nd Jun 2021,£14.99,6.2
295,Alexio,4th Feb 2022,£4.49,0.0
296,Alfonzo's Arctic Adventure,30th Jul 2021,£4.09,0.0
297,Alfred Hitchcock: Vertigo,27th Sep 2022,£34.99,6.77
298,Alice Gear Aegis CS Concerto of Simulatrix,16th Mar 2023,£24.99,6.67
299,Alice in Wonderland: A Jigsaw Puzzle,9th Feb 2023,£4.49,0.0
300,Alice's Warped Wonderland: REcollection,25th Aug 2022,£19.79,0.0
301,Alien Cruise,14th Mar 2019,£8.69,0.0
302,Alien Destroyer,20th Jan 2022,£0.89,0.0
303,Alien Engine,30th Jun 2022,£0.89,0.0
304,Alien Escape,12th Jul 2019,£4.49,3.33
305,Alien War,25th Aug 2022,£3.59,0.0
306,Alien: Isolation,5th Dec 2019,£14.99,9.13
307,Aliens Drive Me Crazy,14th Oct 2021,£5.39,0.0
308,Aliens Strike,24th Nov 2021,£4.99,0.0
309,Aliisha: The Oblivion of the Twin Goddesses,24th Nov 2022,£30.00,5.4
310,All Walls Must Fall,20th Jan 2021,£8.99,6.67
311,All-Star Fruit Racing,13th Jul 2018,£15.49,6.51
312,Alluris,24th Sep 2020,£8.99,0.0
313,Almightree: The Last Dreamer,13th Dec 2018,£19.99,3.33
314,Almost my Floor,1st Jul 2022,£8.99,3.33
315,Almost There: The Platformer,21st Feb 2019,£7.19,6.42
316,Alone Musc,6th Jan 2022,£4.49,3.33
317,Alone With You,30th Jul 2021,£8.99,0.0
318,Along the Edge,15th Oct 2020,£14.99,8.63
319,Aloof,15th Oct 2021,£8.99,3.33
320,Alpaca Ball: Allstars,15th Oct 2020,£17.99,6.63
321,Alphadia Genesis,6th Aug 2020,£13.49,6.67
322,Alphadia Genesis 2,1st Jul 2021,£13.49,6.67
323,Alphadia Neo,5th Jan 2023,£13.49,6.67
324,AlphaLink,5th Jan 2023,£13.50,3.33
325,Alphaset by POWGI,27th Aug 2020,£6.99,3.33
326,Alt-Frequencies,10th Dec 2020,£7.19,6.67
327,Alter World,22nd Sep 2022,£4.49,0.0
328,Alteric,30th Mar 2018,£4.49,5.58
329,Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,22nd May 2019,£32.39,7.5
330,Alumni: Escape Room Adventure,12th Aug 2022,£4.99,3.33
331,Aluna: Sentinel of the Shards,26th May 2021,£13.99,5.38
332,Alvastia Chronicles,14th Feb 2019,£11.69,6.58
333,Alveole,1st Sep 2021,£4.49,6.67
334,Alwa's Awakening,27th Sep 2018,£6.99,7.88
335,Alwa's Legacy,29th Sep 2020,£13.99,8.21
336,Always Sometimes Monsters,8th Apr 2021,£7.19,0.0
337,Am I Kind Hearted?,20th Jul 2022,£15.99,0.0
338,AmaneSwitch,6th Oct 2021,£10.39,0.0
339,amazin' George 2,24th Feb 2022,£19.95,0.0
340,amazin' George 2 Digital Deluxe,28th Jul 2022,£21.95,0.0
341,amazin' George Remastered,21st Apr 2022,£4.99,0.0
342,amazin' Lumo,30th Jun 2022,£2.70,0.0
343,Amazing Breaker,27th Oct 2021,£6.29,0.0
344,Amazing Brick Breaker,28th Nov 2019,£4.49,6.67
345,Amazing Chicken Adventures,31st Oct 2022,£17.99,0.0
346,Amazing Machines,24th Feb 2022,£17.99,0.0
347,Amazing Princess Sarah,11th Nov 2021,£5.89,0.0
348,Amazing Superhero Squad,25th May 2022,£6.29,3.33
349,Amber City,16th Mar 2023,£7.89,3.33
350,Ambition of the Slimes,18th Jan 2018,£4.99,7.0
351,Ambition Record,3rd Mar 2022,£13.49,6.67
352,Ambition: A Minuet in Power,14th Jul 2022,£16.19,0.0
353,America Wild Hunting,5th Mar 2021,£3.99,0.0
354,American Fugitive,23rd May 2019,£17.99,6.01
355,American Hero,11th Nov 2021,£13.49,6.67
356,American Man,24th Dec 2021,£8.99,0.0
357,Ammo Pigs: Armed and Delicious,7th Oct 2022,£7.19,3.33
358,Ammo Pigs: Cocked and Loaded,25th Feb 2022,£4.49,0.0
359,Amnesia: Collection,12th Sep 2019,£25.20,7.35
360,Amnesia: Later x Crowd,20th Sep 2022,£44.99,0.0
361,Amnesia: Memories,20th Sep 2022,£44.99,6.67
362,Amoeba Battle - Microscopic RTS Action,3rd Mar 2020,£13.49,0.0
363,Among Pipes,19th Mar 2021,£6.99,0.0
364,Among the Sleep - Enhanced Edition,29th May 2019,£24.99,3.33
365,Among Us,15th Dec 2020,£3.89,8.18
366,Ampersat,10th Jun 2022,£8.99,3.33
367,An Airport for Aliens Currently Run by Dogs,25th Aug 2022,£14.99,3.33
368,An American Werewolf in L.A.,23rd Feb 2022,£4.49,0.0
369,An NPC's Odyssey,23rd Feb 2022,£3.99,0.0
370,Anarcute,30th May 2019,£13.49,7.5
371,Ancestors Legacy,11th Jun 2020,£31.99,7.68
372,Ancient Islands,10th Mar 2022,£11.29,3.33
373,Ancient Rush 2,18th Jan 2019,£4.49,0.0
374,Ancient Stories: Gods of Egypt,15th Oct 2021,£6.29,0.0
375,Andro Dunos 2,24th Mar 2022,£17.99,7.75
376,Angel's Punishment,3rd Sep 2021,£24.99,0.0
377,Angelo and Deemon: One Hell of a Quest,25th Jan 2022,£10.99,0.0
378,Angels of Death,27th Jun 2018,£11.29,7.38
379,Angels with Scaly Wings,30th Apr 2021,£9.99,6.03
380,AngerForce: Reloaded,4th Apr 2019,£8.09,7.5
381,Angry Alligator,18th Oct 2021,£26.99,6.67
382,Angry Bunnies: Colossal Carrot Crusade,16th Sep 2019,£0.00,3.33
383,Angry Golf,23rd Mar 2021,£4.49,3.33
384,Angry Video Game Nerd 1 & 2 Deluxe,29th Oct 2020,£13.49,7.54
385,Anima: Gate of Memories,29th Jun 2018,£17.99,0.0
386,Anima: Gate of Memories - Arcane Edition,4th Jan 2019,£26.99,4.83
387,Anima: Gate of Memories: The Nameless Chronicles,29th Jun 2018,£17.99,6.73
388,Animal Babies Puzzle,14th Apr 2022,£13.49,0.0
389,Animal Bomber,5th Mar 2021,£4.49,0.0
390,Animal Crossing: New Horizons,20th Mar 2020,£72.48,9.14
391,Animal Doctor,25th Mar 2021,£17.99,0.0
392,Animal Drifters,16th Sep 2022,£4.49,0.0
393,Animal Fight Club,25th Jul 2019,£3.99,3.33
394,Animal Fun for Toddlers and Kids,23rd Apr 2020,£5.99,0.0
395,Animal Fun Puzzle,5th Aug 2022,£6.99,0.0
396,Animal Golf: Battle Race,2nd Jan 2023,£7.19,0.0
397,Animal Hunter Z,29th Nov 2018,£8.99,0.0
398,Animal Learning Puzzle for Toddlers and Kids,26th Mar 2021,£7.99,0.0
399,Animal Lover,22nd Feb 2023,£8.99,0.0
400,Animal Pairs - Matching & Concentration Game for Toddlers & Kids,4th Jun 2020,£5.99,0.0
401,Animal Pals Bubble Pop,20th Nov 2020,£7.99,0.0
402,Animal Puzzle - Preschool Learning Game for Kids and Toddlers,2nd Sep 2021,£8.99,0.0
403,Animal Puzzle Cats,17th Nov 2022,£4.49,0.0
404,Animal Puzzle for Toddlers and Kids,4th Jun 2022,£6.99,0.0
405,Animal Puzzle World,9th Feb 2023,£5.39,0.0
406,Animal Revolt Battle Simulator,20th Jan 2022,£11.99,0.0
407,Animal Rivals,17th Jul 2018,£3.10,0.0
408,Animal Rivals: Up In The Air,21st Jul 2022,£10.49,6.67
409,Animal Super Craft,26th Jan 2023,£1.99,0.0
410,Animal Super Squad,1st May 2018,£8.99,7.17
411,Animal Up!,22nd May 2020,£2.49,0.0
412,Animals for Toddlers,24th Sep 2020,£6.99,0.0
413,Animals Names,20th Mar 2023,£2.50,0.0
414,Animals Transport Simulator,15th Sep 2022,£4.99,0.0
415,AnimaLudo,25th Jun 2021,£8.99,0.0
416,Animated Jigsaws: Beautiful Japanese Scenery,5th Apr 2018,£7.99,5.35
417,Animated Jigsaws: Japanese Women,4th Oct 2018,£7.99,6.53
418,Anime Girls: Camping Trip,26th Jan 2023,£3.59,0.0
419,Anime Studio Story,16th Jan 2020,£11.69,0.0
